Offer ID,Title,Location,Description,Contract Type,Salary,Education,Experience,Industry,Skills,Posted Date,Hiring Date,Deadline,Contract Duration,URL
UMR8591-LAULES-001,Ingénieur d'Etudes en Production et analyses de données en Hydrogéomorphologie (H/F),THIAIS,"L'ingénieur aura pour fonction de produire de l'information hydrogéomorphologique sur la rivière Bièvre (78, 91, 92, 94) dans le cadre de l'ANR ALEAU.Ce projet vise à étudier la relation des individus et des groupes aux paysages sonores ordinaires associés à la présence et/ou à la réapparition de l’eau dans des milieux urbains, périurbains et ruraux d’Ile-de-France en évaluant la capacité humaine à traiter auditivement et émotionnellement l'information acoustique véhiculée par cette ressource. Pour ce faire, nous travaillerons à partir de l’analyse de sons de trois petites rivières franciliennes (la Bièvre, le Morbras et la Vieille Mer), présentant des profils hydrogéomorphologiques variés, ainsi que des degrés d’urbanisation et de restauration divers. L'hypothèse sur laquelle repose le projet d'ANR est que ces rivières participent à la construction de paysages sonores distincts en fonction de critères hydrogéomorphologiques (taille du cours d’eau, types d'écoulements, formes du fond du lit, charge sédimentaire, différents obstacles à l'écoulement etc.) et du cadre environnant évoluant temporellement (période d’étiage ou de crue, saisons, jour/nuit, etc.). Le travail de l'Ingénieur se situera plus précisément dans le WP1 coordonné par  Laurent LESPEZ (LGP) intitulé les dimensions spatiales du son : construction d’une cartographie du potentiel sonore. Il aura pour objectif de cartographier les facteurs hydrogéomorphologiques déterminant l'émission sonore potentielle de la rivière Bièvre.",IT en contrat CDD,2625,BAC+3/4,1 à 4 années,Ingénieur-e d’études en sciences de l’information géographique,- Très bonne connaissance du fonctionnement hydrogéomorphologique des petites rivières urbaines franciliennes- Capacité à faire des relevés hydrogéomorphologiques sur le terrain en autonomie- Maitrise des SIG et des logiciels QGIS et ArcGIS- Bonne maitrise de l'oral et de l'écrit en vue de restitution des travaux de recherche au sein du projet et à l'extérieur,vendredi 7 février 2025,01-04-2025,28-02-2025,12 mois,https://emploi.cnrs.fr/Offres/CDD/UMR8591-LAULES-001/Default.aspx
UMR8243-JEMSAM0-014,"[H/F] Ingénieur- ASESYC - Cryptographie symétrique vérifiable, sûre et efficace",PARIS 13,"Objectif Nous souhaitons étendre le compilateur Usuba, développé par le PIet un précédent doctorant, avec des passes d'optimisation spécifiquementspécialement conçues pour les plateformes embarquées (ARM Cortex, RISC). Notre objectif est deperformances comparables à celles des implémentations manuelles sur ces plates-formes.Objectif 2 : nous souhaitons intégrer le langage de programmation Usuba plus étroitement dans l'écosystème logiciel existant afin de le rendre pleinement opérationnel.dans l'écosystème logiciel existant afin de le rendre complètementtransparent pour les développeurs. Peut-être de manière contre-intuitive, notre but est dequ'Usuba disparaisse de la vue des développeurs, les dispensant ainsi d'avoir à apprendre un autre outil.",IT en contrat CDD,2349,BAC+3/4,Indifférent,Ingénieur-e en ingénierie logicielle,"Optimisation de compilateurs pour des architectures embarquées (ARM, RISC).Connaissances des systèmes embarqués et de leur programmation.Analyse de performance, benchmarking et optimisation.Intégration d'outils dans des écosystèmes logiciels existants. Développement d’interfaces transparentes pour les développeurs.",jeudi 6 février 2025,01-05-2025,27-02-2025,27 mois,https://emploi.cnrs.fr/Offres/CDD/UMR8243-JEMSAM0-014/Default.aspx
UMR7263-KHEBOU-053,"(H/F) Ingénieur ""modéliser les dynamiques de l'écureuil roux dans les paysages fragmentés - du mouvement aux flux de gènes""",AIX EN PROVENCE,"L'agent modélisera la dynamique de l’écureuil roux (Sciurus vulgaris) dans des fenêtres paysagères variées grâce au logiciel RangeShifter. Il veillera à la pertinence biologique de ses sorties de modélisation, tout en développant une partie en lien avec la génétique paysagère de cette espèce afin de formuler des hypothèses sur l’effet de différents types de fragmentation sur les flux de gènes. Il rédigera ses résultats sous forme d’un article scientifique qui sera soumis dans une revue scientifique de rang A. Il pourra également présenter ses résultats dans un colloque scientifique. Enfin, il pourra contribuer à la collecte de données génétiques et spatiales sur l'écureuil roux actuellement en cours dans notre équipe et qui permettront de valider le modèle",IT en contrat CDD,3163,BAC+5,Indifférent,Ingénieur-e biologiste en analyse de données,"Connaissances en modélisation et outils numériques ; Bon niveau d'anglais scientifique Travail en équipeLes plus : gout pour le travail de terrain, intérêt pour d’autres approches comme la télémétrie ou d’autres types de modélisation (ex. graphes spatiaux).",samedi 8 février 2025,01-05-2025,01-03-2025,12 mois,https://emploi.cnrs.fr/Offres/CDD/UMR7263-KHEBOU-053/Default.aspx
MOY1632-FANDUB-004,Assistant en gestion administrative (H/F),PARIS 16,"Assurer l’organisation matérielle des réunions des commissions administratives paritaires (CAP) et consultatives (CCP) de l’établissement, participer à l’instruction des dossiers présentés devant ces commissions, assurer les relations avec les membres et le secrétariat de séance des réunions. Participer au suivi des activités du service",IT en contrat CDD,2829,BAC + 2,Indifférent,Assistant-e en gestion administrative,"Savoirs / connaissances :- Connaissance générale des ressources humaines- Techniques d'élaboration de documents  - Techniques de communication- Techniques de prise de notes- Maîtrise du Pack Office et des outils de partage en ligne (CORE, My CORE ou similaires)- Méthode de classement et d’archivageSavoir-faire :- Savoir planifier ses activités, gérer les priorités, les échéances et les faire respecter,- Savoir rédiger une note de procédure, des courriers administratifs, des documents d'information techniques,- Savoir faire preuve d’autonomie - Savoir rendre compte de son travail et de ses résultats. Savoirs-être - Disposer de capacités relationnelles et goût pour le travail en transverse,- Respecter la confidentialité,- Être organisé, savoir faire preuve de rigueur et de méthodologie,- Savoir interagir avec des personnalités variées",vendredi 7 février 2025,01-04-2025,28-02-2025,8 mois,https://emploi.cnrs.fr/Offres/CDD/MOY1632-FANDUB-004/Default.aspx
UMR7358-CHRFOR-005,Assistant ingénieur H/F échantillonnage eaux souterraines IODP 501,Woods Hole,"Il s'agira de collecter des échantillons d'eaux souterraines et sédiments prélevés dans le cadre de l'expédition 501 d'IODP3, en vue de réaliser des analyses de concentrations des gaz rares dissouts (CRGP) et aboutir à des reconstructions paléoclimatiques/caractérisations de l'environnement de mise en place de ces réservoirs d'eau.",IT en contrat CDD,2807,BAC+3/4,Indifférent,Assistant-e ingénieur-e en instrumentation et techniques expérimentales,expérience de prélèvement d'échantillons d'eau pour analyses gaz rares,jeudi 6 février 2025,14-04-2025,27-02-2025,6 mois,https://emploi.cnrs.fr/Offres/CDD/UMR7358-CHRFOR-005/Default.aspx
UPR5301-ISACAL-128,Agent logistique polyvalent H/F,GRENOBLE,"Gérer en autonomie les stocks de produits et consommables du laboratoire, et prendre en charge les livraisons. Gérer l’accueil des visiteurs, le standard et le courrier.",IT en contrat CDD,2159,BAC,Indifférent,Technicien-ne logistique,Expérience en logistiqueRéglementation en matière d'hygiène et de sécurité (notion de base)Savoir travailler en autonomie et en équipeUtiliser les outils bureautiquesAisance relationnelle et communicationEnregistrer et classer les documentsSavoir rendre compteNotions de langue anglaise appréciées,vendredi 7 février 2025,01-04-2025,28-02-2025,12 mois,https://emploi.cnrs.fr/Offres/CDD/UPR5301-ISACAL-128/Default.aspx
UMR8263-FRAROB-001,Ingénieur (H/F) en Biologie Cellulaire,PARIS 05,"Les missions de l'ingénieur seront centrées sur la génération de lignées transgéniques par la méthode CRISPR visant à mettre en oeuvre les techniques d'extension du code génétique, de la caractérisation et l'optimisation de ces lignées, et de la mise en place d'outils par cette méthode pour le marquage de protéines du cytosquelettes telles que l'actine. L'ingénieur sera chargé en outre de la gestion des stocks et lignées de vers nématodes dans l'équipe d'accueil.",IT en contrat CDD,8263,Doctorat,1 à 4 années,Ingénieur-e en techniques biologiques,-	Connaissance des principaux outils de Biologie Moléculaire-	Connaissance de base en Génétique -	Compréhension des méthodes d'extension du code génétique -	Notions de Biologie Cellulaire,vendredi 7 février 2025,01-03-2025,28-02-2025,5 mois,https://emploi.cnrs.fr/Offres/CDD/UMR8263-FRAROB-001/Default.aspx
MOY1632-HAYTRA-003,Chargé-e d'études handicap et projets RSE H/F,PARIS 16,"Au sein du service de la responsabilité sociale de l’employeur, le ou la chargé(e) d’études :-	contribue, avec le correspondant handicap national, à la définition des orientations de la politique handicap du CNRS au travers notamment du plan d’actions ainsi qu’a la promotion en interne et en externe de cette politique afin de favoriser l’insertion et le maintien dans l’emploi des agents en situation de handicap-	contribue à la mise en œuvre et au suivi de projets issus notamment des différents plans d’actions pilotés par le service ;",IT en contrat CDD,0,BAC+3/4,1 à 4 années,Chargé-e du développement des ressources humaines,"Savoirs / connaissances - Connaitre la réglementation relative au handicap- Avoir une expérience en matière d’insertion et d’accompagnement professionnels des personnes en situation de handicap ;- Acquérir les connaissances relatives à l’action sociale, à la qualité de vie au travail, et à la RSE,- Acquérir les connaissances relatives à l’organisation et au fonctionnement de l’établissement,- Connaître les règles de la commande publiqueSavoir-faire - Gérer plusieurs projets différents et respecter les échéances- Maîtriser le pack office,- Concevoir et conduire un projet, un plan d'action,- Dynamiser et animer un réseau,- Planifier ses activités, gérer les priorités, les échéances et les faire respecter.Savoirs-être - Disposer de capacités rédactionnelles, d’expression orale et relationnelles,- Être force de proposition,- Avoir l’esprit d’équipe et savoir travailler en transverse,- Faire preuve de rigueur et de méthodologie,- Savoir interagir avec des personnalités et des missions variées",vendredi 7 février 2025,07-04-2025,28-02-2025,12 mois,https://emploi.cnrs.fr/Offres/CDD/MOY1632-HAYTRA-003/Default.aspx
IRL3757-GAESEB0-005,"Ingénieur de recherche (H/F), développement de prototypes de réfrigération à l'état solide",,"La personne recrutée sera en charge de développer des prototypes dans le cadre d'un programme de pré-maturation pour le CNRS, permettant d'augmenter le Technology Readiness Level (TRL) de preuves de concept expérimentales précédemment développées.",IT en contrat CDD,2235,BAC+5,Plus de 10 années,Expert-e en conception mécanique,"Une solide expérience en conception mécanique et prototypage est requise :- Logiciels de CAO et FAO, connaître et mettre en œuvre des solutions de fabrication (usinage, impression 3D, découpe laser, etc.)- Instrumentation scientifique- Mécatronique- Capacité de réalisation pratique (assemblage, fabrication, production manuelle fine)Dans le cadre de sa mission, la personne recrutée sera amenée à interagir fréquemment avec le personnel de l'université japonaise et les fournisseurs :- Parfaitement bilingue japonais et anglais- Une bonne connaissance de l'environnement industriel au Japon est requise (des expériences antérieures dans l'industrie japonaise sont préférées).- Travail en équipe",vendredi 7 février 2025,01-04-2025,28-02-2025,18 mois,https://emploi.cnrs.fr/Offres/CDD/IRL3757-GAESEB0-005/Default.aspx
UMR8520-EMMDUB-005,Offre poste Ingénieur d'Etude - Optimisation de commutateur RF (H/F),VILLENEUVE D ASCQ,"Les étages RF frontaux évoluent en permanence pour supporter les normes associées aux derniers standards de communication. Chaque nouvelle génération s’accompagne de spécifications de plus en plus strictes en ce qui concerne la bande passante, les pertes, la linéarité et le bruit. Par conséquent, l’ingénierie de conception RF est continuellement en besoin de solutions technologiques pour pouvoir répondre à ces spécifications exigeantes. Les interrupteurs RF sont des composants importants des systèmes RF frontaux car ils permettent de propager sélectivement le signal à travers les chemins d'émission/réception à l'aide de commutateurs d'antenne, de puissance et de diversité pour répondre au nombre croissant de normes de communication. Il existe une demande pour des commutateurs à nombre élevé de pôles afin de pouvoir prendre en charge l'intégration de différentes normes de communication GSM, TD-SCDMA, WCDMA et LTE dans la même puce. Un autre exemple de l'utilisation exigeante des commutateurs est donné par l'agrégation de porteuses (CA) qui est une caractéristique clé des normes LTE-advanced et 5G. L'agrégation de porteuses impose de nouvelles spécifications extrêmement strictes en termes de bande passante opérationnelle, de perte d'insertion, d'isolation, de linéarité et de tenue en puissance. La transmission de signal dans un commutateur RF est gouvernée par un système du premier ordre dont la constante de temps  Tau=Ron.Coff constitue un facteur de mérite (FoM) essentiel des commutateurs RF qui détermine sa bande passante.Actuellement la technologie RF SOI partiellement déplétée rencontre un énorme succès sur le marché des circuits de module front-end RF et constitue la technologie de commutateurs la plus répandue pour le meilleur compromis atteint en termes de i) résistance à l’état passant Ron, ii) capacité à l’état bloqué Coff, iii) métrique Tau=Ron.Coff, iv) tension de claquage BVDS sous forte puissance RF et v) rapport coût/performance. L’amélioration des performances de commutateurs RF représente un exercice de compromis difficile étant donné le niveau d’optimisation que l’ingénierie de transistor MOS a atteint aujourd’hui. A titre d’exemple, tout ce qui tend à améliorer un paramètre (ex : réduction de Ron) contribue à détériorer les autres (ex : réduction de BVDS et de Coff). Au-delà des leviers d’optimisation évidents que constituent l’épaisseur du film silicium sur isolant tSOI et de la longueur effective de grille du switch LG, l'introduction du substrat SOI (Silicon-on-Insulator) à haute résistivité ( plus de 1 kohm.cm) a constitué une percée pour l'épanouissement des technologies RF sur silicium. Un grand nombre de démonstrations de commutateurs a été rapporté depuis une décennie. Les dernières innovations dans le domaine des substrats SOI a conduit au développement de deux types de plaquettes : le substrat SOI à haute résistivité (HR-SOI) et le substrat SOI introduisant une couche de piégeage sous l’oxyde enterré (Trap-Rich, TR-SOI) induisant un verrouillage du potentiel du substrat. Dans le premier cas (HR-SOI), malgré une résistivité de substrat supérieure à 1 kΩ.cm, l’existence d’une couche de conduction superficielle parasite se formant à l'interface entre l'oxyde enterré (BOX) et le substrat de silicium (Si handler) est invoquée comme facteur limitant responsable des pertes dissipatives d’insertion et de non-linéarité. Dans le second cas (TR-SOI), cet effet est atténué par l'introduction d'une couche de polysilicium naturellement riche en pièges qui verrouille fermement le potentiel et empêchent la formation d'une couche de conduction parasite. L’atténuation des pertes et la linéarité des circuits s’en trouvent fortement améliorés comme cela a été démontré dans la littérature. L'accroissement des performances des commutateurs RF a de profondes répercussions sur l'ensemble du front-end RF. Par exemple, la réduction des pertes des commutateurs de 0,1 dB permet d’améliorer l'efficacité d’émission de 1%. Cette quête peut impliquer un cycle de développement typique de deux ans illustrant l’effort considérable à déployer pour un gain incrémental de performance. Quel que soit l’option de substrat sélectionnée et au-delà des efforts de conception de circuit ou de topologie de masque, les marges de performance s’avèrent être de plus en plus difficiles à glaner. Après avoir épuisé les meilleures options d’architecture au niveau du dispositif et de conception au niveau du circuit, les gains de performance à venir nécessitent des solutions en rupture dépassant les leviers usuels que sont l’épaisseur de couche SOI et la longueur de grille. Les travaux envisagés ont pour objectif d’explorer le potentiel que représente l’introduction de microcavités dans le réseau d’interconnexion (BEOL) des technologies RF-SOI-CMOS.L’organisation du programme de travail est le suivant:- Simulation de procédés et de dispositifs (TCAD) pour la modélisation et la confrontation expérimentale : étude paramétrique de l’impact des microcavités BEOL- Méthodologie et développement de procédés d'enlèvement de matière (Laser, FIB, RIE) appliqués aux microcavités BEOL en face avant- Application des technologies de microcavités au sein du réseau d’interconnexion (BEOL)- Caractérisation physique et électrique du procédé visant la réduction du couplage Coff associé au BEOL dans une version avancée de la technologie 130nm RFSOI - Développement d’un procédé de passivation par dépôt d’un liner de nitrure d’aluminium : étude exploratoire comparative de dépôt ALD ou par pulvérisation cathodique. Caractérisation physique et thermique des couches d’AlN",IT en contrat CDD,2491,BAC+3/4,Indifférent,Ingénieur-e électronicien-ne,"Ce poste est destiné à un(e) candidat(e) intéressé(e) par la microfabrication, la modélisation/simulation dans le domaine de l'électromagnétisme (RF). Les candidats potentiels doivent :•	Être titulaire d'un master ou d’un diplôme d’ingénieur•	Des connaissances dans le domaine de la microfabrication, des techniques de salle blanche et/ou des applications laser sont requises•	Parler couramment l'anglais (parlé et écrit) et démontrer un savoir-faire en matière de rédaction rapports et de publications.•	Être capable de travailler de manière indépendante et de prendre des initiatives •	Intégrer le travail de groupe et la dynamique d'un laboratoire commun",vendredi 7 février 2025,01-03-2025,28-02-2025,10 mois,https://emploi.cnrs.fr/Offres/CDD/UMR8520-EMMDUB-005/Default.aspx
